1930;Uruguai;Uruguai;Argentina;Estados Unidos;Iugoslavia
1934;Italia;Italia;Tchecoslovaquia;Alemanha;Austria
1938;Franca;Italia;Hungria;Brasil;Suecia
1950;Brasil;Uruguai;Brasil;Suecia;Espanha
1954;Suica;Alemanha Ocidental;Hungria;Austria;Uruguai
1958;Suecia;Brasil;Suecia;Franca;Alemanha Ocidental
1962;Chile;Brasil;Tchecoslovaquia;Chile;Iugoslavia
1966;Inglaterra;Inglaterra;Alemanha Ocidental;Portugal;Uniao Sovietica
1970;Mexico;Brasil;Italia;Alemanha Ocidental;Uruguai
1974;Alemanha Ocidental;Alemanha Ocidental;Paises Baixos;Polonia;Brasil
1978;Argentina;Argentina;Paises Baixos;Brasil;Italia
1982;Espanha;Italia;Alemanha Ocidental;Polonia;Franca
1986;Mexico;Argentina;Alemanha Ocidental;Franca;Belgica
1990;Italia;Alemanha Ocidental;Argentina;Italia;Inglaterra
1994;Estados Unidos;Brasil;Italia;Suecia;Bulgaria
1998;Franca;Franca;Brasil;Croacia;Paises Baixos
2002;Coreia do Sul e Japao;Brasil;Alemanha;Turquia;Coreia do Sul
2006;Alemanha;Italia;Franca;Alemanha;Portugal
2010;Africa do Sul;Espanha;Paises Baixos;Alemanha;Uruguai
2014;Brasil;Alemanha;Argentina;Paises Baixos;Brasil
2018;Russia;Franca;Croacia;Belgica;Inglaterra
